Name,Symbol,Price,24h Change,Market Cap,Timestamp
Bitcoin,BTC,"$107,761.48",0.19%,"$2,146,757,212,436",2025-11-03 20:17:30
Ethereum,ETH,"$3,723.96",0.08%,"$448,701,530,880",2025-11-03 20:17:30
Tether,USDT,$1.00,0.02%,"$183,475,215,206",2025-11-03 20:17:30
XRP,XRP,$2.41,0.19%,"$145,357,368,396",2025-11-03 20:17:30
BNB,BNB,"$1,018.92",0.17%,"$140,344,001,226",2025-11-03 20:17:30
Solana,SOL,$175.33,0.47%,"$96,893,436,408",2025-11-03 20:17:31
USDC,USDC,$1.00,0.02%,"$75,665,659,767",2025-11-03 20:17:31
TRON,TRX,$0.2921,0.27%,"$27,657,915,713",2025-11-03 20:17:31
Dogecoin,DOGE,$0.1741,0.31%,"$26,409,300,381",2025-11-03 20:17:31
Cardano,ADA,$0.5743,0.21%,"$20,594,871,565",2025-11-03 20:17:31
Bitcoin,BTC,"$100,244.44",0.00%,"$1,997,974,215,891",2025-11-07 20:03:43
Ethereum,ETH,"$3,230.55",0.28%,"$389,666,956,314",2025-11-07 20:03:43
Tether,USDT,$0.9996,0.03%,"$183,384,319,923",2025-11-07 20:03:43
XRP,XRP,$2.18,0.03%,"$131,264,198,438",2025-11-07 20:03:43
BNB,BNB,$933.19,0.32%,"$128,535,761,094",2025-11-07 20:03:43
Solana,SOL,$152.02,0.27%,"$84,141,729,662",2025-11-07 20:03:43
USDC,USDC,$1.00,0.02%,"$75,386,243,908",2025-11-07 20:03:43
TRON,TRX,$0.2841,0.12%,"$26,904,018,601",2025-11-07 20:03:44
Dogecoin,DOGE,$0.1618,0.07%,"$24,549,546,941",2025-11-07 20:03:44
Cardano,ADA,$0.5264,0.04%,"$18,880,579,121",2025-11-07 20:03:44
Bitcoin,BTC,"$104,734.55",1.69%,"$2,088,958,899,985",2025-11-10 20:34:16
Ethereum,ETH,"$3,533.82",2.29%,"$426,558,923,366",2025-11-10 20:34:16
Tether,USDT,$0.9998,0.00%,"$183,445,113,193",2025-11-10 20:34:16
XRP,XRP,$2.50,2.20%,"$150,537,732,213",2025-11-10 20:34:16
BNB,BNB,$983.73,1.79%,"$135,496,531,487",2025-11-10 20:34:16
Solana,SOL,$165.64,2.42%,"$91,698,872,107",2025-11-10 20:34:16
USDC,USDC,$0.9998,0.01%,"$75,580,056,268",2025-11-10 20:34:17
TRON,TRX,$0.2933,0.54%,"$27,773,264,292",2025-11-10 20:34:17
Dogecoin,DOGE,$0.1787,2.50%,"$27,120,865,465",2025-11-10 20:34:17
Cardano,ADA,$0.5826,2.62%,"$20,899,146,099",2025-11-10 20:34:17
